024,30,19794667122645,20617963290,0,0,"(nan, nan)","(nan, nan)",0,0,nan,nan,"(nan, nan, nan)","(nan, nan, nan)","(nan, nan, nan)","(nan, nan, nan)"
024,30,19794667572649,20618413303,1,1,"(0.2655715346336365, 0.2636585235595703)","(0.25419455766677856, 0.249923974275589)",1,1,2.4061279296875,2.4623870849609375,"(-53.068206787109375, -54.26704025268555, 663.1381225585938)","(1.8610700368881226, -49.1649284362793, 653.0745239257812)","(-120.72056579589844, 240.46115112304688, 76.87891387939453)","(-126.58573150634766, 244.61962890625, 78.3924560546875)"
024,30,19794667580988,20618421642,1,1,"(0.2586416006088257, 0.25710174441337585)","(0.25596341490745544, 0.24734869599342346)",1,1,2.398712158203125,2.4382476806640625,"(-53.081417083740234, -54.27043533325195, 663.2467651367188)","(1.8628945350646973, -49.15972137451172, 653.0390625)","(-124.29315185546875, 242.44638061523438, 77.60147857666016)","(-125.6738510131836, 245.3993682861328, 78.67626190185547)"
024,30,19794667589319,20618429973,1,1,"(0.2564631402492523, 0.2610636055469513)","(0.2544925808906555, 0.24839265644550323)",1,1,2.3938140869140625,2.44866943359375,"(-53.066043853759766, -54.26251220703125, 663.1519165039062)","(1.8640296459197998, -49.1561393737793, 653.0155029296875)","(-125.41622161865234, 241.246826171875, 77.16487121582031)","(-126.43209075927734, 245.08326721191406, 78.56121063232422)"
024,30,19794667597652,20618438306,1,1,"(0.2514215111732483, 0.2392130196094513)","(0.2529952824115753, 0.2272253930568695)",1,1,2.378936767578125,2.4382171630859375,"(-53.08428955078125, -54.25144577026367, 663.0625)","(1.8315629959106445, -49.15907669067383, 653.3333740234375)","(-128.01531982421875, 247.8626251220703, 79.57281494140625)","(-127.20401763916016, 251.4921875, 80.89386749267578)"
024,30,19794667605986,20618446640,1,1,"(0.23508356511592865, 0.20473599433898926)","(0.2387571632862091, 0.21463695168495178)",1,1,2.3700103759765625,2.4676666259765625,"(-53.09130096435547, -54.22770309448242, 662.9254760742188)","(1.7973790168762207, -49.144195556640625, 653.2861938476562)","(-136.43801879882812, 258.3014221191406, 83.37220764160156)","(-134.54415893554688, 255.30361938476562, 82.2811279296875)"
024,30,19794667614321,20618454975,1,1,"(0.245573028922081, 0.1996949017047882)","(0.2383308857679367, 0.21100807189941406)",1,1,2.36395263671875,2.4525299072265625,"(-53.083091735839844, -54.22962951660156, 662.8046264648438)","(1.7879719734191895, -49.14928436279297, 653.2977294921875)","(-131.0303955078125, 259.82769775390625, 83.92776489257812)","(-134.763916015625, 256.4023742675781, 82.68101501464844)"
024,30,19794667622651,20618463306,1,1,"(0.2419690191745758, 0.22127342224121094)","(0.2379518449306488, 0.20935286581516266)",1,1,2.3865966796875,2.4722442626953125,"(-53.056427001953125, -54.23220443725586, 662.7604370117188)","(1.8112691640853882, -49.16123962402344, 653.3568725585938)","(-132.8883819580078, 253.29429626464844, 81.54981994628906)","(-134.95933532714844, 256.9035339355469, 82.86344909667969)"
024,30,19794667630985,20618471640,1,1,"(0.24489635229110718, 0.22559042274951935)","(0.24125424027442932, 0.21334637701511383)",1,1,2.386016845703125,2.4455108642578125,"(-53.040260314941406, -54.25325012207031, 662.73779296875)","(1.820849061012268, -49.17864227294922, 653.2392578125)","(-131.37925720214844, 251.9872283935547, 81.07405853271484)","(-133.25686645507812, 255.69439697265625, 82.42337036132812)"
024,30,19794667639318,20618479973,1,1,"(0.23998020589351654, 0.2133776992559433)","(0.23881608247756958, 0.21839669346809387)",1,1,2.363800048828125,2.469268798828125,"(-53.04081726074219, -54.28554916381836, 662.8240356445312)","(1.8248151540756226, -49.19292449951172, 653.1329345703125)","(-133.91366577148438, 255.68492126464844, 82.41988372802734)","(-134.51380920410156, 254.16529846191406, 81.86681365966797)"
024,30,19794667647651,20618488306,1,1,"(0.2434854954481125, 0.2261415719985962)","(0.24311883747577667, 0.22454431653022766)",1,1,2.411102294921875,2.4503021240234375,"(-53.033626556396484, -54.2900390625, 662.7266235351562)","(1.8286257982254028, -49.2061767578125, 653.1090087890625)","(-132.1065673828125, 251.82034301757812, 81.01326751708984)","(-132.2956085205078, 252.30393981933594, 81.1893081665039)"
